availability,brand,condition,description,google_product_category,id,image_link,link,price,title
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_016_BloodyBirthday-R1.jpg Bloody Birthday ",new,"Three evil children embark on a killing spree to celebrate their tenth birthdays in this rarely seen '80s slasher that just may be the most disturbing ""killer kids""�� movie of all time. As in VILLAGE OF THE DAMNED, these kids don't like sugar and spice and everything nice. They like strangling, shooting, stabbing and much, much worse. Starring Susan Strasberg, Jose Ferrer and comedy vixen Julie Brown' whose nude dance scene remains a landmark of celebrity skin' this still-controversial shocker should be kept away from your little ones as long as possible.",839,16,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_016_BloodyBirthday-R1.jpg",,"4.99 USD","Bloody Birthday"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_17_CarnivalOfSouls_Thumbnail.jpg Carnival of Souls ",new,"A woman begins seeing mysterious ghostly figures following her after a car crash in this creepy cult classic from 1962 which anticipates the films of George Romero and David Lynch. After specializing in industrial films, director Herk Harvey (who plays one of the ghouls) poured his heart and soul into what would be his only narrative feature. But after an initial box office failure, CARNIVAL became a cult classic to future generations, who connected with the film's atmospheric TWILIGHT ZONE-meets-Ingmar Bergman style. A must-see film for any horror fan.",839,17,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_17_CarnivalOfSouls_Thumbnail.jpg",,"4.99 USD","Carnival of Souls"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_18_CastleFreak_Thumbnail.jpg Castle Freak ",new,"An American family inherits an Italian castle which houses a bloodthirsty monster in Stuart Gordon's 1995 creature feature loosely based - of course - on an H.P. Lovecraft story. Gordon's favorite lead actor Jeffrey Combs (RE-ANIMATOR) stars as John, a man involved in an accident that claimed his son's life. Grieving and troubled, the family's unprepared for another blast of horror when the deformed beast starts prowling the halls. Gordon's underrated film is anchored by a dark, serious tone that's unlike his more tongue-in-cheek efforts, but still just as scary.",839,18,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_18_CastleFreak_Thumbnail.jpg",,"4.99 USD","Castle Freak"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_019_Citadel_Thumbnail.jpg Citadel ",new,"An agoraphobic man enlists a renegade priest to save his daughter from an evil gang of feral children who attacked his wife. Urged to pity the impoverished youngsters by a social worker, Tommy (the wonderful Aneurin Barnard) turns instead to the priest (James Cosmo of GAME OF THRONES) who believes the killer kiddies are demons who need to be exterminated. Roger Ebert hit the nail on the head when he called CITADEL, ""a horrifying thriller painted on a small and very dark canvas.""�� It's an intensely disturbing film sure to keep you from falling asleep tonight.",839,19,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_019_Citadel_Thumbnail.jpg",,"4.99 USD",Citadel
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/21_ColdSweat_masthead.jpg Cold Sweat ",new,"A man must rescue his girlfriend from a deranged pair of elderly torturers in this Argentinian shocker which was a hit at SXSW in 2011. When Roman's girlfriend disappears he expects to find her in the arms of another man. But when he learns she's being held captive by a pair of crazy old men conducting illicit experiments involving dynamite on a string of young women, Roman must figure out how to free her or she'll end up in pieces. A delirious old school horror film with the most memorable villains in years, COLD SWEAT never fails to frighten or entertain. (In Spanish with English Subtitles)",839,21,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/21_ColdSweat_masthead.jpg",,"4.99 USD","Cold Sweat"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_22_ComeOutAndPlay_Thumbnail.jpg Come Out and Play ",new,"Expectant parents find themselves stranded on an island with evil children in this modern remake of the '70s Spanish horror classic WHO CAN KILL A CHILD? Beth and Francis are on holiday when they venture to a beautiful remote island. When they arrive, they realize children are everywhere, but all the adults are missing. Thoughthey try to enjoy themselves, they quickly realize something sinister is going on. Soon, they'll be forced to make difficult decisions in their terrifying quest to make it off the island alive.",839,22,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_22_ComeOutAndPlay_Thumbnail.jpg",,"4.99 USD","Come Out and Play"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/24_DayoftheDead_masthead.jpg Day of the Dead ",new,"After a zombie apocalypse, scientists attempt to reverse the reanimation process and train zombies to abstain from eating people. But this being one of George Romero's films, the scientists and military enforcers at the underground lab facility soon wind up in deep trouble. As with his previous two zombie films, Romero inserts a commentary on the decade it was made - the '80s - connecting the walking dead to the homeless, the poor and people with AIDS. Controversial on its release, DOTD later found a group of champions who consider it one of Romero's best.",839,24,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/24_DayoftheDead_masthead.jpg",,"4.99 USD","Day of the Dead"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_25_DeadSnow_thumbnail.jpg Dead Snow ",new,"A group of students have their ski vacation cut short by an army of Nazi zombies in this Norwegian horror hit from 2008 which recently spawned a sequel. Before they can say ""Nein, danke""��, the seven students have to fight off the nasty necro-Nazis, who are desperate to protect their stolen gold. (A LEPRECHAUN tie-in seriously needs to happen) Director Tommy Wirkola's outlandish premise leads to moments both terrifying and tongue-in-cheek, as the fast-moving zombies treat the pure white snow like a canvas that needs more and more - and still more - red blood. (In Norwegian with English Subtitles)",839,25,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_25_DeadSnow_thumbnail.jpg",,"4.99 USD","Dead Snow"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_780_DeadGirl_Thumbnail.jpg Dead Girl ",new,"When two teens find a chained-up dead girl, they make decisions they'll soon regret in this subversive scare film from director Marcel Sarmiento (V/H/S VIRAL) that turns the conventions of horror and coming-of-age movies - not to mention bad boy behavior and rape culture - on their heads. Since the dead girl's chained up, Rickie and JT assume she can't do anything to them if they and their friends want to take advantage of her beautiful body. But by the time they find out how wrong they are, it may already be too late. Daringly original and deeply disturbing.",839,26,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_780_DeadGirl_Thumbnail.jpg",,"4.99 USD","Dead Girl"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_33_EatenAlive_Thumbnail.jpg Eaten Alive ",new,"A crazy veteran's backwoods hotel comes complete with a hungry, hungry crocodile in Tobe Hooper's fearsome follow up to THE TEXAS CHAINSAW MASSACRE. But the killer croc's not the only horror icon in this twisted tale - Hooper also cast the original Morticia Addams, Carolyn Jones, scream queen Marilyn Burns, and future Freddy Krueger Robert Englund in supporting roles. Using a wild beast instead of a man with a chainsaw, Hooper serves up another chilling cautionary tale about pissing off the wrong folks when traveling through the wild backcountry of America.",839,33,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_33_EatenAlive_Thumbnail.jpg",,"4.99 USD","Eaten Alive"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_034_Exorcismus_Thumbnail.jpg Exorcismus ",new,"A teenager realizes she's possessed after she starts having uncontrollable fits, but her parents think she's just losing her mind. (Major facepalm) But when Emma levitates in the living room, they call in the holy rollers - Uncle Chris, a priest whose last exorcism caused a girl's death, and Padre Ennis (Doug Bradley aka Pinhead from the HELLRAISER movies). Will they be able to save her or will the devil have his day? Screenwriter David Mu퀌�oz's terrifying and twist-filled script never fails to plunge beneath the surface of the characters' dark behavior.",839,34,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_034_Exorcismus_Thumbnail.jpg",,"4.99 USD",Exorcismus
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/35_FacesofDeath_masthead.jpg Faces of Death ",new,"This notorious cult ""documentary""�� claims to show real footage of horrifying deaths of every shape and size, including animal attacks, wartime deaths, crashes and brutal murders. Is it real or faked? Google can give you the answer, but why spoil the fun? After its release in 1978, FACES OF DEATH became one of the most popular cult horror videos in history, and watching it became a rite of passage for young horror fans who had to sneak the tape past their parents. Invite your friends over, fry up a big bowl of monkey brains, and prepare to cover your eyes.",839,35,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/35_FacesofDeath_masthead.jpg",,"4.99 USD","Faces of Death"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_38_5DollsForAnAugustMoon_Thumbnail.jpg Five Dolls for an August Moon ",new,"A vacation becomes a nightmare when a killer starts stalking a group of friends in Mario Bava's rarely seen take on the classic TEN LITTLE INDIANS-style whodunit. A space age island retreat is visited by a group of friends and business associates, one of whom is a scientist who has invented a revolutionary chemical process, and is fending off various offers to buy it. Soon the vacationers start dying, and the survivors begin to wonder who has the most to gain from these murders most foul. You'll think twice before booking your next vacation after watching.",839,38,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_38_5DollsForAnAugustMoon_Thumbnail.jpg",,"4.99 USD","Five Dolls for an August Moon"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/39_FrankensteinsArmy_masthead.jpg Frankenstein's Army ",new,"A battalion of soldiers are forced to face off against an army of undead soldiers - or they'll be joining their ranks whether they like it or not. During the end days of World War II, a battalion of Russian soldiers find themselves lost in enemy territory. Stumbling on a village decimated by an unseen terror, they discover a mad scientist (HELLBOY's Karel Roden) has created an unstoppable army of undead soldiers with steel for flesh. Faced with dissention among their ranks, they must find the courage to face down this terrifying menace - or die trying.",839,39,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/39_FrankensteinsArmy_masthead.jpg",,"4.99 USD","Frankenstein's Army"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/41_Frightmare_masthead_0lahJRM.jpg Frightmare ",new,"A female cannibal is released from an asylum, but her hunger soon returns in this freaky family horror film from director Pete Walker (SCHIZO). Sheila Keith (HOUSE OF WHIPCORD) stars as Dorothy, the frightening flesh-eater who lures young people to her home with the promise of telling their future. Little do they know it's to wind up in Dorothy's stomach! Can her husband or daughter stop her before they all wind up in a thick stew? FRIGHTMARE's a perfect film for anyone trying to slim down. After watching, you're sure to abstain from eating for a long time.",839,41,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/41_Frightmare_masthead_0lahJRM.jpg",,"4.99 USD",Frightmare
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_568_Grabbers_thumbnail.jpg Grabbers ",new,"In this hilarious horror comedy that delighted midnight audiences at the 2012 Sundance Film Festival, an Irish village throws a boozy blowout when aliens with an aversion to alcohol invade. After a local drunk survives an attack by a tentacled space monster, the town��s ecologist (LOOKING��s Russell Tovey) figures out liquor is toxic to the outer space octopi. To keep their town intact, they��ll have to get everyone rip-roaring drunk. But will being inebriated hurt their ability to fight the grabbers? Or is liquid courage exactly what everyone needs to survive?",839,43,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_568_Grabbers_thumbnail.jpg","https://s3.amazonaws.com/amcxcoutput/A_C/shudder/Grabbers_tlr_043_HD_2ch.mp4","4.99 USD",Grabbers
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/48_HenryPOASK_masthead.jpg Henry Portrait of a Serial Killer ",new,"This controversial horror classic follows a serial killer and his partner-in-crime as they slowly begin to kill for fun. Michael Rooker is unforgettable as Henry, a soft-spoken loner masking an inner rage. When fellow ex-con Otis invites Henry to move into his apartment, he becomes Henry's wicked wing man. Meanwhile, Otis' unsuspecting sister Becky develops a childish crush on Henry. It took years - and the championing of Roger Ebert - who thought the film was powerful and brilliant - to turn HENRY into one of the most well-regarded horror films of all time.",839,48,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/48_HenryPOASK_masthead.jpg","https://s3.amazonaws.com/amcxcoutput/A_C/shudder/HenryPOASK_tlr_48_HD_2ch.mp4","4.99 USD","Henry Portrait of a Serial Killer"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_62_LisaAndTheDevil_Thumbnail.jpg Lisa and the Devil ",new,"Mario Bava's most unusual film follows a tourist pulled into a hellish mystery. Elke Sommer (BARON BLOOD) stars as a tourist in Spain who, upon seeing the image of a bald, grinning devil in an ancient fresco, wanders away from her group and finds herself drawn into a confounding labyrinth of mystery ""�� lured ever deeper by a mysterious figure (Telly Savalas) who may in fact be the fresco's Satan made flesh. Will she escape? Or become Satan's bride? Bava's diabolical thriller is flavored with the dreadful imagery and tormenting logic of an endless nightmare.",839,62,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_62_LisaAndTheDevil_Thumbnail.jpg",,"4.99 USD","Lisa and the Devil"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_485_LostSoul_Thumbnail.jpg Lost Soul ",new,"The bizarre true story behind the reviled 1996 adaptation of the H.G. Wells classic is told for the first time in this equally hilarious and horrific documentary. After making his mark with the visionary horror films HARDWARE and DUST DEVIL, Australian filmmaker Richard Stanley came up with an ambitious plan for adapting THE ISLAND OF DR. MOREAU. But casting pretentious performers like Val Kilmer and Marlon Brando proved to be his undoing and he was fired off the film. What happens after that must be seen to be believed. Fans of JODOROWSKY'S DUNE will love it.",839,63,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_485_LostSoul_Thumbnail.jpg",,"4.99 USD","Lost Soul"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_65_Magic_Thumbnail.jpg Magic ",new,"Anthony Hopkins plays a ventriloquist whose dummy has a murderous mind of its own in this chilling psychological horror film written by legendary Hollywood scribe William Goldman (MISERY, MARATHON MAN) and directed by future Oscar-winner Richard Attenborough (GANDHI). Famous for its trailer (""Magic is fun. When you're dead!""��) which supposedly was removed from TV for being too scary, MAGIC still holds up as a terrifying trip to the Twilight Zone. Fans of Hopkins' iconic turn as Hannibal Lecter in THE SILENCE OF THE LAMBS should be sure to experience MAGIC.",839,65,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_65_Magic_Thumbnail.jpg",,"4.99 USD",Magic
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/67_Maniac_Cop_masthead.jpg Maniac Cop ",new,"Two New York policemen (Tom Atkins, Bruce Campbell) and a policewoman (Laurene Landon) search for a killer in uniform who should be dead.",839,67,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/67_Maniac_Cop_masthead.jpg",,"4.99 USD","Maniac Cop"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/70_Mutants_masthead.jpg Mutants ",new,"After a deadly virus turned millions into mutants, a couple struggles to find safety. Sonia and Marco have watched the world turn into a warzone filled with bloodthirsty, zombie-like creatures. Their only hope is a secret base where a cure might be in the works. But the lives of the couple and their unborn child are put at risk when Marco is contaminated after a mutant attack. As her husband starts changing, Sonia faces a dreadful dilemma: how do you kill someone you love? French director David Morlet offers a surprisingly complex and moving take on the zombie formula. ",839,70,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/70_Mutants_masthead.jpg",,"4.99 USD",Mutants
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/71_MyAmityville_Shudder_Masthead.jpg My Amityville Horror ",new,"This haunting documentary recounts the true story that inspired THE AMITYVILLE HORROR from the perspective of Danny Lutz, who was only ten when his family moved into a house where a mass murder took place. Lutz and his family soon began experiencing spectral terrors, from swarms of flies to demonic eyes to levitations and more. In this creepy chronicle, Amityville expert Eric B. Walter follows Lutz as he recounts the eerie events and struggles to shake his infamous reputation. Is Lutz telling the truth or spinning an elaborate hoax? Watch and decide for yourself.",839,71,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/71_MyAmityville_Shudder_Masthead.jpg",,"4.99 USD","My Amityville Horror"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_774_NightofTheLivingDead_Thumbnail.jpg Night of the Living Dead ",new,"George Romero's original zombie classic introduced viewers to a new type of terror: the walking dead, slow moving, but determined to feast on your flesh! From the first moments of its iconic opening sequence, NOTLD changed the game for horror directors, creating a genre that - like the zombies themselves - still shows no sign of slowing down. But Romero's most brilliant and controversial innovation was casting African-American actor Duane Jones as the lead, and offering a devastating - and still relevant - commentary on racism during the film's final moments.",839,72,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_774_NightofTheLivingDead_Thumbnail.jpg",,"4.99 USD","Night of the Living Dead"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/73_Nightbreed_The_Directors_Cut_masthead.jpg Nightbreed, The Director's Cut ",new,"A wrongly-accused man seeks refuge in an underground kingdom of grotesque monsters in Clive Barker's freaky and frightening fan favorite. Young Aaron is tormented by visions of monstrous, graveyard-dwelling creatures. But his creepy therapist (director David Cronenberg) offers little solace. When he's framed for serial slayings in the area, he heads for Midian, a place where undead monsters known as the ""Nightbreed""�� live. Barker's follow-up to HELLRAISER developed a cult following on video, and its recent restoration proves its importance in horror cinema.",839,73,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/73_Nightbreed_The_Directors_Cut_masthead.jpg",,"4.99 USD","Nightbreed, The Director's Cut"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/74_Noseferatu_1922_masthead.jpg Nosferatu ",new,"F.W. Murnau's silent version of DRACULA is one of the greatest horror films ever made, thanks in large part to Max Schreck's still-terrifying performance as the bald vampire Nosferatu, sporting razor sharp fangs and long pointy fingernails. Murnau's brilliant use of scary shadows and atmospheric dread influenced countless vampire films and TV series - including DARK SHADOWS, BRAM STOKER'S DRACULA, BUFFY THE VAMPIRE SLAYER and the recent horror comedy WHAT WE DO IN THE SHADOWS. Every horror fan should try to watch this at least once a year, in our opinion.",839,74,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/74_Noseferatu_1922_masthead.jpg",,"4.99 USD",Nosferatu
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_75_Nosferatu_Thumbnail.jpg Nosferatu, The Vampyre ",new,"Werner Herzog��s 1979 NOSFERATU remake stars the ghoulish German actor Klaus Kinski, French siren Isabelle Adjani (POSSESSION), and Bruno Ganz. Herzog, who was famous for creeping people out with intense documentaries and narrative films, took a surprising turn with this adaptation of both DRACULA and F.W. Murnau��s original NOSFERATU, which was an illegal adaptation of the novel itself. Herzog��s version is an unusually contemplative Dracula, in which the vampire bears the cross of not being able to get old and die. Watch it back to back with the original. ",839,75,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_75_Nosferatu_Thumbnail.jpg",,"4.99 USD","Nosferatu, The Vampyre"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/79_PontyPool_masthead.jpg Pontypool ",new,"A shock jock struggles to survive when a virus starts turning his listeners violent. After getting fired, Grant can only get a job on the morning show in the small town of Pontypool. But what begins as another boring day quickly turns deadly, when bizarre reports start coming in of people committing horrendous acts of violence. But why isn't there anything about it on the news wires? Before long Grant and the staff are trapped in the radio station, where they realize the insanity may be caused by a virus transmitted through the airwaves of Grant's station.",839,79,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/df/series/79_PontyPool_masthead.jpg",,"4.99 USD",Pontypool
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/80_Prey_masthead_1.jpg Prey ",new,"One night, several deer hurl themselves unexpectedly against the electric fence of a farm. Seeing deep signs of biting on the animals�� bodies, the farm owners realise that a predator is roaming about the neighbouring woods. Having determined to hunt it down, the farmer and his family penetrate deep into the surrounding forest. They look with bewilderment at the dying environment ravaged by a mysterious evil force. As the sun slowly sinks away, howling resounds through the forest. The hunters have become prey... (In French with English Subtitles)",839,80,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/80_Prey_masthead_1.jpg",,"4.99 USD",Prey
